branch_id,thread_id,publication_year,branch_status,branch_type,split,text,topic_labels,sentiment,severity,pain_keywords,feature_keywords,gain_keywords,insight_summary,user_expectations
1000153386,1723880927,2021,Solved,question,train,"Hello, Is it possible to allow users to enter custom variables during program operation? My setup uses an incremental encoder to measure the length of items, and these lengths will vary based on the item being inspected. I want operators, who are not familiar with programming, to be able to modify the target length directly within the program while it's running, without having to stop the process or edit the code. I considered addressing this using [product_name] Web Editor, but I'll get access to that software in a few days. I'd like confirmation if this is the right direction.

Certain parameters and variables can be adjusted via the web server interface (the web editor is used to create these interfaces) or through the [product_name] integrated display.",Usability Improvement Suggestions,positive,5,variable entry difficulty || lack of direct operator access || need to avoid code edits,parameter entry || web interface || runtime variable editing || display input,operator input || easy variable adjustment || runtime configuration || non-programmer accessibility,"The discussion focuses on allowing runtime modification of key variables, such as measuring lengths with an encoder, without requiring programming expertise or halting operations. Solutions offered include adjustment through a web server or the built-in display, meeting the goal of making parameter changes accessible to non-programmers.","The user seeks a solution for operators to input variable values, like length, during operation—without any need for programming experience or code updates."
1000367517,3055273936,2020,Unsolved,question,train,"Hello, I'm unable to use the arrow keys efficiently with [product_name] version 8.2.1 and the latest firmware. There's a noticeable delay—at least a second—before I can press the same key again. The keys function smoothly in the simulation, but the hardware shows this issue. Thank you for any assistance.

I'm experiencing the same problem with my current [product_name] 8.2 ([article_no]) running firmware [version_no]. It seems that [company_name] has significantly increased the debounce interval for the arrow keys.

I'm also using similar hardware and facing this issue. It appears to be a bug; increasing the debounce time between key presses makes the hardware less responsive and difficult to use.

Posting a ""complaint"" on the forum may not resolve the issue. If you find the hardware impractical, consider submitting a Support Request and addressing your concerns to [company_name] directly.",Performance Predictability || Usability Improvement Suggestions,negative,4,input delay || poor reactivity || usability issue || hardware inconsistency,arrow keys || debounce time || key responsiveness || hardware navigation,fast input || responsive keys || hardware consistency,"Users have identified a roughly one second delay between pressing the same arrow key consecutively on the [product_name] hardware, whereas the keys work smoothly in simulation. This seems to be due to an increased debounce interval in the hardware, which negatively impacts user experience by making quick input difficult and reducing overall responsiveness.","Users anticipate that the arrow keys on the hardware should respond rapidly and consistently, similar to the responsiveness seen in simulation, allowing for fast, repeated key presses without significant delay."
1001518755,3055273936,2023,Unsolved,question,test,"Hello, I was using a [product_name] with article number [article_no] and firmware version [version_no]. After I created and uploaded a new project, the device stopped working. Now, upon powering up, the screen is completely blank. If I press and hold the 'esc' key, I briefly see 'detecting...' for a few seconds before the screen turns off. The device also isn’t visible in [product_name] software. Is there a way to recover it?

I haven’t come across this exact problem before. What do you mean by 'blank screen' after switching on—does it mean absolutely nothing is displayed? Are you able to access the system menu of [product_name] at all?

The screen stays blank as soon as the device is powered up, with no display and no backlight. I cannot access any menus because nothing is visible. Only when pressing the ESC key, a 'detecting...' message appears for a few seconds. The LAN LED blinks more quickly if a cable is connected, and occasionally even when disconnected.

How did you transfer the program—was it via network cable or SD card? If you used an SD card, please check if any pins are bent and try to start the device without the SD card. If you used the network cable, try pinging the device; if it does not respond, it may be faulty. At that point, you may need to replace it.

Based on your description, it seems the [product_name] is defective. You should consider creating a support request.

I also believe the [product_name] is faulty. You will need to replace it.",Automated Fault Detection and Recovery || Hardware Reliability,negative,3,device unresponsive || total failure || lack of diagnostics || no recovery path,firmware update || display diagnostics || project upload || hardware status,device recovery || reliable upload || quick diagnostics || restore operation,"After uploading a new project to the [product_name], users report that the device fails to boot, with a blank screen, no backlight, and the device not recognized by [product_name] software. Standard troubleshooting steps, such as checking the SD card and network connectivity, do not resolve the problem. The discussion leads to the conclusion that hardware failure is likely after the new project upload, with limited recovery options and unclear failure indicators.","Users expect reliable firmware updates and project uploads, clear and recoverable error states, and the ability to restore the device by using software or performing straightforward troubleshooting steps."
1002331874,1723880927,2019,Unsolved,question,train,"Hello, I've wired a 4-20mA analog sensor to my [product_name] using [article_no] and an [article_no] expansion module. On the [product_name] web interface, I see a value labeled '202' in the attached image. My sensor is connected to AI1, but I'm not sure what the 202 represents—is there a scale or conversion that should be applied to the analog input, or should scaling be performed on a remote server? Thank you, Best regards, [user_name]

Assuming you are referring to the topic about retrieving analog values from the expansion module: Without knowing the physical measuring range of your sensor connected to AI1, it's not possible to interpret the displayed values definitively. The [product_name] converts each analog input to a value between 0 and 1000 units, regardless if it’s a 0-10V, 0/4-20mA, or PT100/1000 input. For 4-20mA sensors, only 800 units are usable—the first 200 units correspond to the 4mA lower limit. Therefore, in your case, the AI1 value of 202 suggests the sensor’s measured value is near the minimum. You should scale the analog input to match the physical measurement range of your sensor using an analog amplifier.

Refer to this FAQ from [company_name]: How do you scale measured values in [product_name] Soft Comfort? For further guidance, consult the official documentation or knowledge base.",User Guidance,neutral,5,unclear value representation || manual scaling required,analog input scaling || value representation || web interface,easy interpretation || automatic scaling || clear value readout,"Users are unsure how analog sensor readings are scaled within the [product_name] system, especially with 4-20mA sensors. There is confusion around the meaning of displayed numerical values and where scaling should be applied—internally, in software, or externally. The discussion clarifies that input values are mapped to a 0-1000 unit range, with 200 units dedicated to the 4mA threshold, making proper scaling essential for accurate sensor data.","Users expect [product_name] devices to show sensor readings in a clear, physical format or to provide straightforward instructions for applying scaling, ideally through integrated options or accessible documentation."
1002756157,1723880927,2021,Unsolved,question,train,"Is there an alternative way to obtain the [version_no] upgrade file if I already own a valid licensed copy of [product_name] [version_no]? I received this response and no other options were offered. Download is unavailable! My attempt to download was rejected before using this link. Entry type: Download, Entry ID: [article_no], Entry date: [date]

No, there are no other options. You would need to purchase a DVD containing [product_name] [version_no].",File Accessibility Barriers || Licensing and Pricing Transparency,negative,3,upgrade denied || no online alternative || forced physical purchase || inaccessible upgrade paths,upgrade availability || digital download || license verification,easy upgrade || online access || seamless update || digital distribution,The user faces a roadblock when trying to upgrade their licensed [product_name] software from [version_no] to [version_no] due to denied digital downloads and the absence of alternative official upgrade options. This results in user frustration due to limited access paths for legitimate upgrades.,"Users anticipate a straightforward and dependable online upgrade process for their licensed software, expecting direct access to upgrade files without having to resort to physical media or jump through unnecessary hurdles."
1004665657,3055273936,2013,Solved,question,train,"Hello, I'm new to [product_name] and I'm having trouble downloading the astronomical clock function onto my [product_name] controller. Does anyone have advice on how to resolve this?

You can use this block in [product_name] with [version_no]. Older versions do not support it.

To avoid similar issues: Before you start programming, select the correct controller model using Tools -> Select Hardware (Ctrl+H). This ensures only compatible function blocks are shown for your device.

Thanks!

Previous answers are correct, but I have also programmed an astronomical clock function for various [product_name] controller versions ([article_no], etc.). Try searching the English forum for ""Astro-clock [product_name]"" and ""Astro-Uhr [product_name]"" for my posts about solutions – for example, astronomical clock for [product_name] [article_no] series. You can also search ""Astro-Uhr [product_name]"" in the German section for further articles, including implementations for [product_name] [article_no], improvements using polynomial regression in Excel, and troubleshooting daylight-saving time adjustments for [product_name] [version_no]. Best regards, [user_name]",Integration Limitations || Product Compatibility,neutral,4,feature unavailable || hardware version confusion || setup challenges,astronomical clock || hardware selection || function block,easy configuration || feature access || hardware compatibility,"Users report confusion and issues related to the astronomical clock function, especially concerning its availability in various [product_name] controller versions and the programming environment. Common problems include selecting the correct hardware in the software and compatibility limitations with older devices, which makes it challenging for new users to implement this feature.","Users anticipate a straightforward inclusion of the astronomical clock function for their [product_name] controller, regardless of the device version. They also expect clear options for verifying feature compatibility and easier guidance on accessing advanced functions."
1005502537,3055273936,2014,Solved,question,train,"Hello! I would like to know the maximum cable length that can be used for analog outputs on the latest [product_name].

Hi, According to the [product_name] manual: For shielded and twisted cables, the maximum length is 10 meters.",Documentation Clarity,neutral,5,unclear cable length parameter || installation uncertainty,analog output || maximum cable length || installation manual,installation clarity || technical specification || hardware guidance,"A user asks about the maximum cable length recommended for analog outputs on a recent [product_name], which is important for ensuring reliable operation. Another participant provides a guideline from the [product_name] manual, stating that 10 meters is the maximum length for shielded and twisted cables. The discussion is clear and focused on technical specification.","The user seeks authoritative and straightforward technical advice, ideally from [company_name] documentation or knowledgeable experts, concerning safe cable length practices for analog signals."
1006779966,4479534060,2020,Solved,question,train,"Hello, We have a [product_name] module and need to use it for simple automation—controlling gate operation via a position switch. The gate should be commanded and monitored from a remote system, which is a [company_name] PLC. Could you advise how to set up remote communication for command and monitoring between the [product_name] and the PLC?

Hello [user_name], Welcome to the forum. Could you specify which [company_name] PLC you are using? There are various approaches depending on its type.

The remote system in question is an [version_no] PLC.

Just to clarify, should communication occur over a network? If so, there is a useful example available for [company_name] devices. [version_no] communication.

Yes, communication will be handled via the network. The example you referenced is sufficient for our needs. Thank you for your prompt assistance.",Integration Limitations || Network Configuration Challenges || User Guidance,positive,5,integration uncertainty || communication setup,network communication || remote command || input status monitoring,remote control || network integration || device interoperability || automation,"The conversation focuses on establishing network-based remote communication between a [product_name] basis module and an [version_no] PLC to automate gate control. The main concern is uncertainty about how to network and integrate these two [company_name] products. The user appreciates quick, practical knowledge sharing and example-based guidance to facilitate setup.","The user seeks clear, actionable advice for enabling dependable network communication between the [product_name] and an [version_no] PLC, preferably supported with official or real-world examples for seamless control and monitoring integration."
1006789986,1723880927,2017,Unsolved,question,train,"Hello everyone, I'm working on a generator control and turbine flow monitoring setup implemented on a [product_name]. I want to know if anyone has advice on showing logs on the web server or on an HMI screen—for example, displaying the time, date, and event whenever a certain signal goes high. I've tried the data logging feature, but retrieving data is difficult, and the system overwrites older entries once there are too many, even with 64GB of SD card space. Thanks in advance! [user_name]

Hello, The built-in web server in [product_name] offers similar capabilities to message texts. From what you described, it seems you want to log when a user accesses or modifies something, but this isn’t supported by the integrated web server. While you can use a datalog, entries from the datalog cannot be displayed directly in the web server. My only suggestion is to use a message text with ""Acknowledge Message"" enabled. On [product_name], this message remains active until someone presses the ""OK"" button. The same should apply when using the web server. Hope this helps.",Feature Requests || Integration Limitations || Usability Improvement Suggestions,negative,4,limited log retention || difficult data extraction || overwriting logs || missing Web Server display,logging || Web Server || HMI display || data log || event timestamp,event tracking || reliable data logging || web server display || HMI integration,"Users are limited by the logging capabilities of the integrated web server in [product_name], particularly in displaying events and logs directly on either the web server or HMI. The built-in data logging is considered inconvenient for retrieving data and cannot store many entries, regardless of available memory. There is no option to show datalog records on the web server, which makes event monitoring challenging.","Users expect to create and display detailed logs with timestamps directly on the web server or HMI, with the ability to store large volumes of log entries when enough storage is available."
1010508398,4479534060,2018,Solved,question,test,"Hello. Can anyone advise where to obtain the .gsd file for [article_no]?

Hello, [product_name] is not a Profibus DP slave. Communication is possible using ethernet. How do you set up an S7 connection (server/client) between a [product_name] [article_no] and an [product_name] CPU? Best regards, [user_name]

There isn't a GSD file for [product_name]. [product_name] doesn't support profibus. Only Ethernet TCP/IP or modbus TCP/IP is available. Modbus is supported if the [product_name] is: - from series 8.1 with FS04 or newer. - from series 8.2.

Despite this, it is connected via MPI and is operational. The original project differs—I intended to upload the station to PG.

MPI? [product_name] does not support MPI.

Apologies, my previous comment was incorrect—it's actually not a [product_name].",Documentation Clarity || Product Compatibility,neutral,5,missing GSD file || unsupported protocol || confusing communication options,Profibus support || MPI protocol || GSD file availability || Ethernet TCP/IP || Modbus TCP/IP,upload station || fieldbus integration || multi-protocol support,"The user seeks a GSD file for [product_name] [article_no] to enable Profibus or MPI communication but learns from others that this product does not act as a Profibus DP slave and does not support MPI, offering only Ethernet/TCP-IP or, in certain versions, Modbus TCP/IP. The discussion highlights user confusion around supported communication protocols and reflects unclear documentation regarding protocol compatibility for specific [product_name] models.","User anticipated that [product_name] [article_no] would support Profibus and MPI and be configurable via a GSD file, similar to other [company_name] products."
