text,participant_id,source_name,evidence_id,quote,timestamp,suggested_labels,gold_labels,review_status,review_comment
"Okay, yeah, so my main building research is in self-tracking practices - in running in particular. So I'm looking to understand how people use their smart watches or other types of devices. and I tend to do this by running with people, so it's a participatory method. So, um, a particular method that I use is using the 360-degree action camera. So, I record The app, the actions of the participants, as well as have an interview with them. So use it [for] more open-ended questions, really. So I tend to, you know, they’re semi-structured interviews, but they can quite often be open as well. So unstructured these as well, but, that's kind of the typical method. And another method I use are just using virtual interviews. So they're, they're the, primarily the three that I use. So, my 360 camera action camera, face to face interviews, and online interviews like this one. Yes, it's quite new. I think certainly in information science/information studies, which is, it's not really been done before. So there have been studies before in running, but that tends to be like geography. Or sort of sociology with like, the embodied sort of, in embodiment - that kind of stuff. So, the sociology in the body and, but people have tended to us, just a camera like a 180 camera on that kind of, there's been some issues. So I just pushed that forward a bit. So then you've got an opportunity for observation after the event. to use a VR headset as well, to immerse myself back into the data.",P001,Interview -1.txt,P001_E001,"Okay, yeah, so my main building research is in self-tracking practices - in running in particular. So I'm looking to understand how people use their smart watches or other types of devices. and I tend to do this by running with people, so it's a participatory method. So, um, a particular method that I use is using the 360-degree action camera. So, I record The app, the actions of the participants, as well as have an interview with them. So use it [for] more open-ended questions, really. So I tend to, you know, they’re semi-structured interviews, but they can quite often be open as well. So unstructured these as well, but, that's kind of the typical method. And another method I use are just using virtual interviews. So they're, they're the, primarily the three that I use. So, my 360 camera action camera, face to face interviews, and online interviews like this one.",,response:neutral;outcome:abandonment,,pending,
"Okay, yeah, so my main building research is in self-tracking practices - in running in particular. So I'm looking to understand how people use their smart watches or other types of devices. and I tend to do this by running with people, so it's a participatory method. So, um, a particular method that I use is using the 360-degree action camera. So, I record The app, the actions of the participants, as well as have an interview with them. So use it [for] more open-ended questions, really. So I tend to, you know, they’re semi-structured interviews, but they can quite often be open as well. So unstructured these as well, but, that's kind of the typical method. And another method I use are just using virtual interviews. So they're, they're the, primarily the three that I use. So, my 360 camera action camera, face to face interviews, and online interviews like this one. Yes, it's quite new. I think certainly in information science/information studies, which is, it's not really been done before. So there have been studies before in running, but that tends to be like geography. Or sort of sociology with like, the embodied sort of, in embodiment - that kind of stuff. So, the sociology in the body and, but people have tended to us, just a camera like a 180 camera on that kind of, there's been some issues. So I just pushed that forward a bit. So then you've got an opportunity for observation after the event. to use a VR headset as well, to immerse myself back into the data. And I'm actually,…",P001,Interview -1.txt,P001_E002,"Yes, it's quite new. I think certainly in information science/information studies, which is, it's not really been done before. So there have been studies before in running, but that tends to be like geography. Or sort of sociology with like, the embodied sort of, in embodiment - that kind of stuff. So, the sociology in the body and, but people have tended to us, just a camera like a 180 camera on that kind of, there's been some issues. So I just pushed that forward a bit. So then you've got an opportunity for observation after the event. to use a VR headset as well, to immerse myself back into the data.",,response:neutral;outcome:abandonment,,pending,
"Yes, it's quite new. I think certainly in information science/information studies, which is, it's not really been done before. So there have been studies before in running, but that tends to be like geography. Or sort of sociology with like, the embodied sort of, in embodiment - that kind of stuff. So, the sociology in the body and, but people have tended to us, just a camera like a 180 camera on that kind of, there's been some issues. So I just pushed that forward a bit. So then you've got an opportunity for observation after the event. to use a VR headset as well, to immerse myself back into the data. And I'm actually,… …so the framework that I [use is] situational analysis, and so that's like a step on from grounded theory method. So, that's that's kind of where I sit. So it's those kinds of tools and techniques. So specifically, I don't, I don't tend to use things like Atlas Ti or other qualitative, Nvivo., things like that. I tend to be more actually, [a] pen and paper kind of person. At those things. And then I will transfer those maps onto, I use inspiration IE9, which is provided by the University Software Center. So, it gives, that's, that's where I start to actually record my physical findings. So to come back to situational analysis, and how that maps to the mapping that I do. You have, you kind of see, develop the sensitizing concepts, and then you write them down like a messy map. It's like a big piece of paper. Just write all the words, it doesn't matter how they relate to each other. And then you start to, you move on to the second part, which - relational analysis is just to start with one of the concepts and the ideas, and just relate them to everything else that's on your map. You start to see how relationships form, and you do that each of the concepts. That [takes] quite a lot of thinking time. And while I'm doing that, I've got a book at site, I make - making sort of notes as I am going along. So, that's kind of the main bit. And then after that, you analyze something, the positional maps. So the XY, It's not, it's not, it sounds a lot more quantitative than [it] actually is! This [is] entirely qualitative to sort of put a concept along the bottom on, like a scale, and another concept, and then you map into the middle some ideas. And that's really good for seeing what data you've got, where things are congregating, and, but you can also see the gaps and silences, which is all that's interesting too. So highly qualitative, highly interpretive methods. Yeah.",P001,Interview -1.txt,P001_E003,"And I'm actually,…",,domain:discoverability;issue:discoverability;response:positive;outcome:abandonment,,pending,
"And I'm actually,… …so the framework that I [use is] situational analysis, and so that's like a step on from grounded theory method. So, that's that's kind of where I sit. So it's those kinds of tools and techniques. So specifically, I don't, I don't tend to use things like Atlas Ti or other qualitative, Nvivo., things like that. I tend to be more actually, [a] pen and paper kind of person. At those things. And then I will transfer those maps onto, I use inspiration IE9, which is provided by the University Software Center. So, it gives, that's, that's where I start to actually record my physical findings. So to come back to situational analysis, and how that maps to the mapping that I do. You have, you kind of see, develop the sensitizing concepts, and then you write them down like a messy map. It's like a big piece of paper. Just write all the words, it doesn't matter how they relate to each other. And then you start to, you move on to the second part, which - relational analysis is just to start with one of the concepts and the ideas, and just relate them to everything else that's on your map. You start to see how relationships form, and you do that each of the concepts. That [takes] quite a lot of thinking time. And while I'm doing that, I've got a book at site, I make - making sort of notes as I am going along. So, that's kind of the main bit. And then after that, you analyze something, the positional maps. So the XY, It's not, it's not, it sounds a lot more quantitative than [it] actually is! This [is] entirely qualitative to sort of put a concept along the bottom on, like a scale, and another concept, and then you map into the middle some ideas. And that's really good for seeing what data you've got, where things are congregating, and, but you can also see the gaps and silences, which is all that's interesting too. So highly qualitative, highly interpretive methods. Yeah. I'm, is that with particularly just the data [that] are generated and analysis. Yeah. It's, I think. To some extent being, yeah, that qualitative research is, it's kind of like it's mine[field] in a way too, I think, and that's So acutely aware, and I put this into all my justifications and everything, and I don't really call it a limitation. I think it's more of a kind of how I sit in the research. So the positionality is a research on very much in that particular research. So that's something that I actually embrace. Whereas I think other paradigms are be get out of there, you should be impartial, you should be away from. This was like what I argue. The philosophy was, search approaches very much like this is my insider information - that I add to the process. So it's an abductive process. That's very much here. Some data, here's my experience, here’s other people, and this is what results. So, I think what I produce in terms of the analysis is very much, I am aware, it's my interpretation of the data. For me, trying to, I do try and build rigour into my research. But that tends to be more through transparency. But I also have attention there because the data that I collected audio visuals 360, And I have the participants for me. I've got the duty of care to them, and they do come first as far as I'm concerned. So, when I get the consent from them, and I explained very early on about UK data archives, or Sheffield's, repositories and things like that of what potentially could happen later. So, from that respect, with the, with the audio-visual data, I'm particularly sensitive, how that's getting managed. And I build in checks and measures throughout my research, to say I'm doing this with it. Now, I'm doing this with it now. At what point got to start processing it for the purposes of sort of GDPRr as well, but just, it's just good relationship, really, with the participants - of I am doing this with your audio visual stuff, which by the way is research data, and that does present problems in the sense of people want things up like their faces blurred out which - we're doing this kind of thing - is really not what to say, because I can see the benefits that if I put this in the UKDA and put an embargo on it for 10 or 15 years, that might be useful for somebody in 10-15 years time say, but it's not going to be that useful in the interim, but, so for me, that's [a] particular challenge. And then and then the other side of it is constantly the data that I produced for diagrams and things are using those situated situational analysis tools. The messy mapping, the relational mapping, and the positional maps. I keep those, and because I want to show my workings out to the - partly other researchers. So the idea there, is to deposit all that kind of stuff as well, actually to be open and transparent. So, that's how I'm trying to demonstrate the rigour. But there's that difficulty in, I'm quite happy to give - not give away - but to share my analysis. But what's harder is convincing participants of their higher personal data of their faces, that their actions, and that kind…especially the 360 environment, of having that transferred to a data. However, all the right security, and all the right protections. So yeah, the audio visual bit from these - the challenge as opposed to - you know, producing a transcripts and putting transcripts, it's not being able to access that data that I've collected because I feel I should. It's something that I think would be useful to other researchers. I didn't want that to be open, but comes with that huge tension of - and people's personal data rights.",P001,Interview -1.txt,P001_E004,"…so the framework that I [use is] situational analysis, and so that's like a step on from grounded theory method. So, that's that's kind of where I sit. So it's those kinds of tools and techniques. So specifically, I don't, I don't tend to use things like Atlas Ti or other qualitative, Nvivo., things like that. I tend to be more actually, [a] pen and paper kind of person. At those things. And then I will transfer those maps onto, I use inspiration IE9, which is provided by the University Software Center. So, it gives, that's, that's where I start to actually record my physical findings. So to come back to situational analysis, and how that maps to the mapping that I do. You have, you kind of see, develop the sensitizing concepts, and then you write them down like a messy map. It's like a big piece of paper. Just write all the words, it doesn't matter how they relate to each other. And then you start to, you move on to the second part, which - relational analysis is just to start with one of the concepts and the ideas, and just relate them to everything else that's on your map. You start to see how relationships form, and you do that each of the concepts. That [takes] quite a lot of thinking time. And while I'm doing that, I've got a book at site, I make - making sort of notes as I am going along. So, that's kind of the main bit. And then after that, you analyze something, the positional maps. So the XY, It's not, it's not, it sounds a lot more quantitative than [it] actually is! This [is] entirely qualitative to sort of put a concept along the bottom on, like a scale, and another concept, and then you map into the middle some ideas. And that's really good for seeing what data you've got, where things are congregating, and, but you can also see the gaps and silences, which is all that's interesting too. So highly qualitative, highly interpretive methods. Yeah.",,domain:discoverability;issue:discoverability;domain:workflow;issue:workflow;response:positive;response:satisfaction;outcome:abandonment,,pending,
"…so the framework that I [use is] situational analysis, and so that's like a step on from grounded theory method. So, that's that's kind of where I sit. So it's those kinds of tools and techniques. So specifically, I don't, I don't tend to use things like Atlas Ti or other qualitative, Nvivo., things like that. I tend to be more actually, [a] pen and paper kind of person. At those things. And then I will transfer those maps onto, I use inspiration IE9, which is provided by the University Software Center. So, it gives, that's, that's where I start to actually record my physical findings. So to come back to situational analysis, and how that maps to the mapping that I do. You have, you kind of see, develop the sensitizing concepts, and then you write them down like a messy map. It's like a big piece of paper. Just write all the words, it doesn't matter how they relate to each other. And then you start to, you move on to the second part, which - relational analysis is just to start with one of the concepts and the ideas, and just relate them to everything else that's on your map. You start to see how relationships form, and you do that each of the concepts. That [takes] quite a lot of thinking time. And while I'm doing that, I've got a book at site, I make - making sort of notes as I am going along. So, that's kind of the main bit. And then after that, you analyze something, the positional maps. So the XY, It's not, it's not, it sounds a lot more quantitative than [it] actually is! This [is] entirely qualitative to sort of put a concept along the bottom on, like a scale, and another concept, and then you map into the middle some ideas. And that's really good for seeing what data you've got, where things are congregating, and, but you can also see the gaps and silences, which is all that's interesting too. So highly qualitative, highly interpretive methods. Yeah. I'm, is that with particularly just the data [that] are generated and analysis. Yeah. It's, I think. To some extent being, yeah, that qualitative research is, it's kind of like it's mine[field] in a way too, I think, and that's So acutely aware, and I put this into all my justifications and everything, and I don't really call it a limitation. I think it's more of a kind of how I sit in the research. So the positionality is a research on very much in that particular research. So that's something that I actually embrace. Whereas I think other paradigms are be get out of there, you should be impartial, you should be away from. This was like what I argue. The philosophy was, search approaches very much like this is my insider information - that I add to the process. So it's an abductive process. That's very much here. Some data, here's my experience, here’s other people, and this is what results. So, I think what I produce in terms of the analysis is very much, I am aware, it's my interpretation of the data. For me, trying to, I do try and build rigour into my research. But that tends to be more through transparency. But I also have attention there because the data that I collected audio visuals 360, And I have the participants for me. I've got the duty of care to them, and they do come first as far as I'm concerned. So, when I get the consent from them, and I explained very early on about UK data archives, or Sheffield's, repositories and things like that of what potentially could happen later. So, from that respect, with the, with the audio-visual data, I'm particularly sensitive, how that's getting managed. And I build in checks and measures throughout my research, to say I'm doing this with it. Now, I'm doing this with it now. At what point got to start processing it for the purposes of sort of GDPRr as well, but just, it's just good relationship, really, with the participants - of I am doing this with your audio visual stuff, which by the way is research data, and that does present problems in the sense of people want things up like their faces blurred out which - we're doing this kind of thing - is really not what to say, because I can see the benefits that if I put this in the UKDA and put an embargo on it for 10 or 15 years, that might be useful for somebody in 10-15 years time say, but it's not going to be that useful in the interim, but, so for me, that's [a] particular challenge. And then and then the other side of it is constantly the data that I produced for diagrams and things are using those situated situational analysis tools. The messy mapping, the relational mapping, and the positional maps. I keep those, and because I want to show my workings out to the - partly other researchers. So the idea there, is to deposit all that kind of stuff as well, actually to be open and transparent. So, that's how I'm trying to demonstrate the rigour. But there's that difficulty in, I'm quite happy to give - not give away - but to share my analysis. But what's harder is convincing participants of their higher personal data of their faces, that their actions, and that kind…especially the 360 environment, of having that transferred to a data. However, all the right security, and all the right protections. So yeah, the audio visual bit from these - the challenge as opposed to - you know, producing a transcripts and putting transcripts, it's not being able to access that data that I've collected because I feel I should. It's something that I think would be useful to other researchers. I didn't want that to be open, but comes with that huge tension of - and people's personal data rights. I really think that the general perception of it is that it is a very good thing to encourage, because I think it encourages collaboration and interdisciplinary research as well. and especially this kind of data that connect is, and somebody else could see all the visual data, they can see completely different things in it by the very nature [of] qualitative, I think it's, it, I feel like maybe that's a contribution as well, that if I can put open, then somebody else can use that for their own research and it could spark something new. Whereas, if it's closed, it's just the kind of the traditional - this data will get deleted at the end of the project, or this thing, or will be retained for like a year and then it will be completely destroyed. It's like well, there's a lot of effort that's actually gone into the collection of that, personal preferences aside, and it would just be great that people could actually access that on open. Yeah. Does that answer the question?",P001,Interview -1.txt,P001_E005,"I'm, is that with particularly just the data [that] are generated and analysis. Yeah. It's, I think. To some extent being, yeah, that qualitative research is, it's kind of like it's mine[field] in a way too, I think, and that's So acutely aware, and I put this into all my justifications and everything, and I don't really call it a limitation. I think it's more of a kind of how I sit in the research. So the positionality is a research on very much in that particular research. So that's something that I actually embrace. Whereas I think other paradigms are be get out of there, you should be impartial, you should be away from. This was like what I argue. The philosophy was, search approaches very much like this is my insider information - that I add to the process. So it's an abductive process. That's very much here. Some data, here's my experience, here’s other people, and this is what results. So, I think what I produce in terms of the analysis is very much, I am aware, it's my interpretation of the data. For me, trying to, I do try and build rigour into my research. But that tends to be more through transparency. But I also have attention there because the data that I collected audio visuals 360, And I have the participants for me. I've got the duty of care to them, and they do come first as far as I'm concerned. So, when I get the consent from them, and I explained very early on about UK data archives, or Sheffield's, repositories and things like that of what potentially could happen later. So, from that respect, with the, with the audio-visual data, I'm particularly sensitive, how that's getting managed. And I build in checks and measures throughout my research, to say I'm doing this with it. Now, I'm doing this with it now. At what point got to start processing it for the purposes of sort of GDPRr as well, but just, it's just good relationship, really, with the participants - of I am doing this with your audio visual stuff, which by the way is research data, and that does present problems in the sense of people want things up like their faces blurred out which - we're doing this kind of thing - is really not what to say, because I can see the benefits that if I put this in the UKDA and put an embargo on it for 10 or 15 years, that might be useful for somebody in 10-15 years time say, but it's not going to be that useful in the interim, but, so for me, that's [a] particular challenge. And then and then the other side of it is constantly the data that I produced for diagrams and things are using those situated situational analysis tools. The messy mapping, the relational mapping, and the positional maps. I keep those, and because I want to show my workings out to the - partly other researchers. So the idea there, is to deposit all that kind of stuff as well, actually to be open and transparent. So, that's how I'm trying to demonstrate the rigour. But there's that difficulty in, I'm quite happy to give - not give away - but to share my analysis. But what's harder is convincing participants of their higher personal data of their faces, that their actions, and that kind…especially the 360 environment, of having that transferred to a data. However, all the right security, and all the right protections. So yeah, the audio visual bit from these - the challenge as opposed to - you know, producing a transcripts and putting transcripts, it's not being able to access that data that I've collected because I feel I should. It's something that I think would be useful to other researchers. I didn't want that to be open, but comes with that huge tension of - and people's personal data rights.",,domain:discoverability;issue:discoverability;domain:workflow;issue:workflow;response:positive;response:satisfaction;outcome:abandonment,,pending,
"I'm, is that with particularly just the data [that] are generated and analysis. Yeah. It's, I think. To some extent being, yeah, that qualitative research is, it's kind of like it's mine[field] in a way too, I think, and that's So acutely aware, and I put this into all my justifications and everything, and I don't really call it a limitation. I think it's more of a kind of how I sit in the research. So the positionality is a research on very much in that particular research. So that's something that I actually embrace. Whereas I think other paradigms are be get out of there, you should be impartial, you should be away from. This was like what I argue. The philosophy was, search approaches very much like this is my insider information - that I add to the process. So it's an abductive process. That's very much here. Some data, here's my experience, here’s other people, and this is what results. So, I think what I produce in terms of the analysis is very much, I am aware, it's my interpretation of the data. For me, trying to, I do try and build rigour into my research. But that tends to be more through transparency. But I also have attention there because the data that I collected audio visuals 360, And I have the participants for me. I've got the duty of care to them, and they do come first as far as I'm concerned. So, when I get the consent from them, and I explained very early on about UK data archives, or Sheffield's, repositories and things like that of what potentially could happen later. So, from that respect, with the, with the audio-visual data, I'm particularly sensitive, how that's getting managed. And I build in checks and measures throughout my research, to say I'm doing this with it. Now, I'm doing this with it now. At what point got to start processing it for the purposes of sort of GDPRr as well, but just, it's just good relationship, really, with the participants - of I am doing this with your audio visual stuff, which by the way is research data, and that does present problems in the sense of people want things up like their faces blurred out which - we're doing this kind of thing - is really not what to say, because I can see the benefits that if I put this in the UKDA and put an embargo on it for 10 or 15 years, that might be useful for somebody in 10-15 years time say, but it's not going to be that useful in the interim, but, so for me, that's [a] particular challenge. And then and then the other side of it is constantly the data that I produced for diagrams and things are using those situated situational analysis tools. The messy mapping, the relational mapping, and the positional maps. I keep those, and because I want to show my workings out to the - partly other researchers. So the idea there, is to deposit all that kind of stuff as well, actually to be open and transparent. So, that's how I'm trying to demonstrate the rigour. But there's that difficulty in, I'm quite happy to give - not give away - but to share my analysis. But what's harder is convincing participants of their higher personal data of their faces, that their actions, and that kind…especially the 360 environment, of having that transferred to a data. However, all the right security, and all the right protections. So yeah, the audio visual bit from these - the challenge as opposed to - you know, producing a transcripts and putting transcripts, it's not being able to access that data that I've collected because I feel I should. It's something that I think would be useful to other researchers. I didn't want that to be open, but comes with that huge tension of - and people's personal data rights. I really think that the general perception of it is that it is a very good thing to encourage, because I think it encourages collaboration and interdisciplinary research as well. and especially this kind of data that connect is, and somebody else could see all the visual data, they can see completely different things in it by the very nature [of] qualitative, I think it's, it, I feel like maybe that's a contribution as well, that if I can put open, then somebody else can use that for their own research and it could spark something new. Whereas, if it's closed, it's just the kind of the traditional - this data will get deleted at the end of the project, or this thing, or will be retained for like a year and then it will be completely destroyed. It's like well, there's a lot of effort that's actually gone into the collection of that, personal preferences aside, and it would just be great that people could actually access that on open. Yeah. Does that answer the question? Yeah, I just think it's a very, very hard thing to do, especially when you've got human participants involved and you are using photographs, audio-visual. I think that's, that [is] particularly hard to do. I think it's easier to share transcripts because you interview, transcripts, so saying things that are going on [in] the new environment, you know, somebody points at something, or this, there's something that's happened in, kind of describe it. I think that's fine, again, like my analysis, that's fine. Just just. Yeah, just I can, it's openness and transparency. I think it comes back to that, as, as a researcher to say, This is what I came up with, with the data that I collected. This is how I analyzed it, because I, I do tend to find a lot of papers. And I quite like to see the workings out, that kind of thing, even if I don't agree with how they got there. It's interesting to see how they got there, and that again, could be a new avenue of work, really?",P001,Interview -1.txt,P001_E006,"I really think that the general perception of it is that it is a very good thing to encourage, because I think it encourages collaboration and interdisciplinary research as well. and especially this kind of data that connect is, and somebody else could see all the visual data, they can see completely different things in it by the very nature [of] qualitative, I think it's, it, I feel like maybe that's a contribution as well, that if I can put open, then somebody else can use that for their own research and it could spark something new. Whereas, if it's closed, it's just the kind of the traditional - this data will get deleted at the end of the project, or this thing, or will be retained for like a year and then it will be completely destroyed. It's like well, there's a lot of effort that's actually gone into the collection of that, personal preferences aside, and it would just be great that people could actually access that on open. Yeah. Does that answer the question?",,domain:discoverability;issue:discoverability;domain:workflow;issue:workflow;response:positive;response:satisfaction;outcome:abandonment,,pending,
"I really think that the general perception of it is that it is a very good thing to encourage, because I think it encourages collaboration and interdisciplinary research as well. and especially this kind of data that connect is, and somebody else could see all the visual data, they can see completely different things in it by the very nature [of] qualitative, I think it's, it, I feel like maybe that's a contribution as well, that if I can put open, then somebody else can use that for their own research and it could spark something new. Whereas, if it's closed, it's just the kind of the traditional - this data will get deleted at the end of the project, or this thing, or will be retained for like a year and then it will be completely destroyed. It's like well, there's a lot of effort that's actually gone into the collection of that, personal preferences aside, and it would just be great that people could actually access that on open. Yeah. Does that answer the question? Yeah, I just think it's a very, very hard thing to do, especially when you've got human participants involved and you are using photographs, audio-visual. I think that's, that [is] particularly hard to do. I think it's easier to share transcripts because you interview, transcripts, so saying things that are going on [in] the new environment, you know, somebody points at something, or this, there's something that's happened in, kind of describe it. I think that's fine, again, like my analysis, that's fine. Just just. Yeah, just I can, it's openness and transparency. I think it comes back to that, as, as a researcher to say, This is what I came up with, with the data that I collected. This is how I analyzed it, because I, I do tend to find a lot of papers. And I quite like to see the workings out, that kind of thing, even if I don't agree with how they got there. It's interesting to see how they got there, and that again, could be a new avenue of work, really? It'd be interested to see people who are claiming to use the same methodologies. How they get there, how they get to those results. That's very much…",P001,Interview -1.txt,P001_E007,"Yeah, I just think it's a very, very hard thing to do, especially when you've got human participants involved and you are using photographs, audio-visual. I think that's, that [is] particularly hard to do. I think it's easier to share transcripts because you interview, transcripts, so saying things that are going on [in] the new environment, you know, somebody points at something, or this, there's something that's happened in, kind of describe it. I think that's fine, again, like my analysis, that's fine. Just just. Yeah, just I can, it's openness and transparency. I think it comes back to that, as, as a researcher to say, This is what I came up with, with the data that I collected. This is how I analyzed it, because I, I do tend to find a lot of papers. And I quite like to see the workings out, that kind of thing, even if I don't agree with how they got there. It's interesting to see how they got there, and that again, could be a new avenue of work, really?",,domain:discoverability;issue:discoverability;domain:workflow;response:neutral;response:satisfaction;outcome:abandonment,,pending,
"Yeah, I just think it's a very, very hard thing to do, especially when you've got human participants involved and you are using photographs, audio-visual. I think that's, that [is] particularly hard to do. I think it's easier to share transcripts because you interview, transcripts, so saying things that are going on [in] the new environment, you know, somebody points at something, or this, there's something that's happened in, kind of describe it. I think that's fine, again, like my analysis, that's fine. Just just. Yeah, just I can, it's openness and transparency. I think it comes back to that, as, as a researcher to say, This is what I came up with, with the data that I collected. This is how I analyzed it, because I, I do tend to find a lot of papers. And I quite like to see the workings out, that kind of thing, even if I don't agree with how they got there. It's interesting to see how they got there, and that again, could be a new avenue of work, really? It'd be interested to see people who are claiming to use the same methodologies. How they get there, how they get to those results. That's very much… …how we differ from, what my perception of, how we differ from quantitative stuff. Done that idea of reproducibility, of, I, I'm, I [am] firmly aware that somebody would interpret the data that I collected completely, and come up with different, for want of a better word, results.",P001,Interview -1.txt,P001_E008,"It'd be interested to see people who are claiming to use the same methodologies. How they get there, how they get to those results. That's very much…",,domain:discoverability;issue:discoverability;domain:workflow;response:neutral;outcome:abandonment,,pending,
"It'd be interested to see people who are claiming to use the same methodologies. How they get there, how they get to those results. That's very much… …how we differ from, what my perception of, how we differ from quantitative stuff. Done that idea of reproducibility, of, I, I'm, I [am] firmly aware that somebody would interpret the data that I collected completely, and come up with different, for want of a better word, results. …but it's not really my research, which way.",P001,Interview -1.txt,P001_E009,"…how we differ from, what my perception of, how we differ from quantitative stuff. Done that idea of reproducibility, of, I, I'm, I [am] firmly aware that somebody would interpret the data that I collected completely, and come up with different, for want of a better word, results.",,domain:workflow;response:neutral,,pending,
"…how we differ from, what my perception of, how we differ from quantitative stuff. Done that idea of reproducibility, of, I, I'm, I [am] firmly aware that somebody would interpret the data that I collected completely, and come up with different, for want of a better word, results. …but it's not really my research, which way. But yeah, open it all up is where possible, Where legal, where ethical Yeah.",P001,Interview -1.txt,P001_E010,"…but it's not really my research, which way.",,domain:workflow;response:neutral,,pending,
